developmentProjectName,developmentProjectAddressText,statusDsc,officeSquareFeetQty,retailSquareFeetQty,otherSquareFeetQty,residentialUnitCnt,hotelRoomCnt,sitePlanDate,underConstructionDate,generalLandUsePlanDsc,zoningTypeDsc,developerName,siteSquareFeetQty,houseTypeDsc,heightFeetQty,storiesCnt,parkingSpaceCnt,latitudeCrd,longitudeCrd
Rosslyn Plaza PDSP,1001 WILSON BVLD,Approved (Not Under Construction),1810173,45000,0,550,200,2016-03-12T00:00:00,,High Office-Apartment-Hotel,C-O-ROSSLYN,,333219,Highrise (4+ stories),390,,2168,38.89473481,-77.06875981
1023 N Danville St,1023 N DANVILLE ST,Under Construction,0,0,0,1,0,,2017-08-02T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.88541731,-77.08967695
1023 S  Queen St,1023 S QUEEN ST,Under Construction,0,0,0,1,0,,2015-10-12T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.86463219,-77.07367719
106 N Garfield St,106 N  GARFIELD ST,Under Construction,0,0,0,1,0,,2017-03-24T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.87501975,-77.09199874
1100 N Roosevelt St,1100 N ROOSEVELT ST,Under Construction,0,0,0,1,0,,2015-10-05T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,6300,Single-family detached house,,,,38.87977377,-77.15443858
1102 S Queen St,1102 S QUEEN ST,Under Construction,0,0,0,1,0,,2010-03-10T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,2790,Single-family detached house,,,,38.86433415,-77.07329384
1106 S Highland St,1106 S HIGHLAND ST,Under Construction,0,0,0,1,0,,2015-07-15T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,7073,Single-family detached house,,,,38.86078528,-77.08883619
1110 18th St S,1110 18TH ST S,Under Construction,0,0,0,1,0,,2007-10-31T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,5574,Single-family detached house,,,,38.8566826,-77.06575973
1100 Block,1124 N STUART ST,Under Construction,0,0,0,12,0,2015-12-12T00:00:00,2017-06-28T00:00:00,Low-Medium Residential,Residential Town House Dwelling District,,25000,Townhouse,44,4,27,38.88480784,-77.11230318
1128 S  Frederick St,1128 S  FREDERICK ST,Under Construction,0,0,0,1,0,,2016-10-17T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.85040841,-77.11429793
PenPlace (Pentagon City PDSP Parcel 1D - Remaining Allocation),1197 S FERN ST,Approved (Not Under Construction),1809000,50000,0,0,300,2013-09-21T00:00:00,,,,,,Highrise (4+ stories),,,,38.86277083,-77.05624974
The Trove (Wellington Apartments),1201 S RHODES ST,Approved (Not Under Construction),0,0,0,402,0,2016-07-20T00:00:00,,Medium Residential,Apartment Dwelling District,,,Highrise (4+ stories),,,,38.86311445,-77.07545038
1209 S Pierce St,1209 S  PIERCE ST,Under Construction,0,0,0,1,0,,2017-01-30T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.86362271,-77.0709397
Central Place (Office),1213 WILSON BLVD,Under Construction,570549,10979,9072,0,0,2007-05-05T00:00:00,2015-10-01T00:00:00,,,,,,,,,38.89532097,-77.07108159
Thomas Jefferson Elementary School,125 S OLD GLEBE RD,Approved (Not Under Construction),0,0,111350,0,0,2017-04-22T00:00:00,,Public,Special District,,,,,,,38.86972728,-77.09677931
132 N  Fillmore St,132 N  FILLMORE ST,Under Construction,0,0,0,1,0,,2015-06-25T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,5000,Single-family detached house,,,,38.87632946,-77.09086341
132 N  Fillmore St,132 N  FILLMORE ST,Under Construction,0,0,0,1,0,,2015-06-25T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,5000,Single-family detached house,,,,38.87632946,-77.09086341
Pentagon City PDSP (Parcel 3/Metropolitan Park - Remaining Allocation),1400 S EADS S,Approved (Not Under Construction),0,23818,0,1403,0,2013-09-21T00:00:00,,,,,,Highrise (4+ stories),,,,38.8614689,-77.05467761
Metropolitan Park Six,1400 S EADS ST,Approved (Not Under Construction),0,10929,0,590,0,2016-07-16T00:00:00,,High-Med Resid. 3/4 & Med. OAH 1/4,"Commercial Office Building, Hotel and Apartment",,,Highrise (4+ stories),,,472,38.8614689,-77.05467761
1401 Wilson Blvd,1401 WILSON BLVD,Approved (Not Under Construction),513004,55540,0,274,0,2014-06-14T00:00:00,,High Office-Apartment-Hotel,,,,Highrise (4+ stories),,,,38.89554059,-77.07358928
Key & Nash,1411 KEY BLVD,Under Construction,0,0,0,63,0,2016-01-23T00:00:00,2017-04-01T00:00:00,Low-Medium Residential,Apartment Dwelling District,,38020,Highrise (4+ stories),66,7,64,38.89663204,-77.07383791
1509 N Kentucky St,1509 N KENTUCKY ST,Under Construction,0,0,0,1,0,,2017-08-10T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.88452814,-77.13613026
1514 N Garfield St,1514 N GARFIELD ST,Under Construction,0,0,0,1,0,,2014-10-09T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,11540,Single-family detached house,,,,38.88937275,-77.09441952
1515 N Garfield St,1515 N  GARFIELD ST,Under Construction,0,0,0,1,0,,2017-03-29T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.88936756,-77.09405317
1523 Mckinley Rd,1523 MCKINLEY RD,Under Construction,0,0,0,1,0,,2017-07-07T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.88450852,-77.14257443
1548 N Edgewood St,1548 N EDGEWOOD ST,Under Construction,0,0,0,1,0,,2017-07-21T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89064142,-77.09237665
1555 Wilson Blvd,1555 WILSON BLVD,Approved (Not Under Construction),0,25200,0,892,0,2017-02-25T00:00:00,,"Commercial Off. Bldg, Hotel and Multiple-Family Dwelling","Commercial Off. Bldg, Hotel and Multiple-Family",,,,,,,38.89489403,-77.07603329
1563 N Bryan St,1563 N BRYAN ST,Under Construction,0,0,0,1,0,,2017-09-22T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89135172,-77.09026788
Wilson School,1601 WILSON BLVD,Approved (Not Under Construction),0,0,180000,0,0,2017-02-25T00:00:00,,Public,Special District,,,,,,93,38.89458328,-77.07730672
1610 N  Monroe St,1610 N MONROE ST,Under Construction,0,0,0,1,0,,2015-10-21T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89160127,-77.10438605
Hilton Homewood Suites,1700 LEE HIGHWAY,Under Construction,0,0,0,0,168,2013-06-15T00:00:00,2016-09-09T00:00:00,,"Commercial Office Building, Hotel and Apartment",,,,,,,38.8974285,-77.0789533
1728 N  Barton St,1728 N  BARTON ST,Under Construction,0,0,0,1,0,,2016-10-19T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89367883,-77.0895496
1770 Crystal Dr Expansion,1750 CRYSTAL DR,Approved (Not Under Construction),11642,0,0,0,0,2015-12-12T00:00:00,,High Office-Apartment-Hotel,"Commercial Off. Bldg, Hotel and Multiple-Family",,,,,,,38.85828669,-77.04958616
1801 N  Nelson St,1801 N  NELSON ST,Under Construction,0,0,0,1,0,,2017-05-17T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.8934636,-77.1050134
1801 N Bryan St,1801 N BRYAN ST,Under Construction,0,0,0,1,0,,2017-08-28T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89383027,-77.09017125
1801 N Quinn St,1801 N QUINN ST,Approved (Not Under Construction),0,0,0,249,0,2017-02-25T00:00:00,,Low-Medium Residential,Apartment Dwelling District,,,Highrise (4+ stories),,,,38.89551024,-77.07802072
1809 N Monroe St,1809 N  MONROE ST,Under Construction,0,0,0,1,0,,2017-03-22T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89357302,-77.10381359
1813 N  Quantico St,1813 N  QUANTICO ST,Under Construction,0,0,0,1,0,,2017-04-07T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.8852679,-77.1506686
1845 N Columbus St,1845 N  COLUMBUS ST,Under Construction,0,0,0,1,0,,2017-03-23T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89231051,-77.12528365
1847 N Columbus St,1847 N  COLUMBUS ST,Under Construction,0,0,0,1,0,,2017-03-23T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89236158,-77.12546814
